date,season,home,away,home_score,away_score,home_win_price,away_win_price,draw_price,outcome
2024-06-08,2024,Minnesota United,FC Dallas,1,1,120,220,250,3
2024-06-08,2024,Sporting Kansas City,Seattle Sounders,2,1,156,175,236,1
2024-06-08,2024,St. Louis City,Portland Timbers,0,0,-154,351,342,3
2024-06-08,2024,New England Revolution,New York Red Bulls,1,0,152,167,252,1
2024-06-02,2024,Atlanta Utd,Charlotte,2,3,-120,323,272,2
2024-06-01,2024,Los Angeles FC,FC Dallas,1,0,-294,743,433,1
2024-06-01,2024,Portland Timbers,Houston Dynamo,2,2,112,227,264,3
2024-06-01,2024,Vancouver Whitecaps,Colorado Rapids,2,1,-141,347,309,1
2024-06-01,2024,Real Salt Lake,Austin FC,5,1,-250,644,392,1
2024-06-01,2024,Chicago Fire,Los Angeles Galaxy,2,1,123,200,270,1
2024-06-01,2024,Minnesota United,Sporting Kansas City,3,1,-130,330,295,1
2024-06-01,2024,Nashville SC,New England Revolution,1,2,-123,334,272,2
2024-06-01,2024,DC United,Toronto FC,2,2,-122,303,292,3
2024-06-01,2024,Inter Miami,St. Louis City,3,3,-182,425,365,3
2024-06-01,2024,New York Red Bulls,Orlando City,1,0,-125,340,274,1
2024-06-01,2024,Philadelphia Union,CF Montreal,2,2,-208,495,376,3
2024-05-31,2024,New York City,San Jose Earthquakes,5,1,-169,430,324,1
2024-05-29,2024,Los Angeles FC,Minnesota United,2,0,-192,491,350,1
2024-05-29,2024,Los Angeles Galaxy,FC Dallas,3,1,-175,433,332,1
2024-05-29,2024,Seattle Sounders,Real Salt Lake,1,1,-139,355,300,3
2024-05-29,2024,Austin FC,Portland Timbers,0,2,108,239,257,2
2024-05-29,2024,Chicago Fire,Orlando City,1,1,177,152,238,3
2024-05-29,2024,Houston Dynamo,Colorado Rapids,3,1,-127,317,296,1
2024-05-29,2024,Sporting Kansas City,Vancouver Whitecaps,1,2,175,154,237,2
2024-05-29,2024,CF Montreal,DC United,4,2,184,138,256,1
2024-05-29,2024,FC Cincinnati,Nashville SC,0,2,-130,394,252,2
2024-05-29,2024,Inter Miami,Atlanta Utd,1,3,-204,442,405,2
2024-05-29,2024,New York Red Bulls,Charlotte,3,1,-156,434,295,1
2024-05-29,2024,Philadelphia Union,Toronto FC,0,0,-149,395,299,3
2024-05-25,2024,Los Angeles Galaxy,Houston Dynamo,2,1,-139,345,308,1
2024-05-25,2024,Portland Timbers,Sporting Kansas City,2,1,-105,259,284,1
2024-05-25,2024,San Jose Earthquakes,Austin FC,1,1,-119,300,287,3
2024-05-25,2024,Vancouver Whitecaps,Inter Miami,1,2,-139,354,299,2
2024-05-25,2024,Colorado Rapids,Minnesota United,3,3,-120,282,305,3
2024-05-25,2024,FC Dallas,Real Salt Lake,3,3,184,141,249,3
2024-05-25,2024,St. Louis City,Seattle Sounders,1,2,129,212,236,2
2024-05-25,2024,Atlanta Utd,Los Angeles FC,0,1,193,125,274,2
2024-05-25,2024,CF Montreal,Nashville SC,0,0,183,147,240,3
2024-05-25,2024,Charlotte,Philadelphia Union,0,0,156,164,252,3
2024-05-25,2024,DC United,Chicago Fire,1,1,-167,398,338,3
2024-05-25,2024,New England Revolution,New York City,0,1,154,162,262,2
2024-05-25,2024,Orlando City,Columbus Crew,0,2,110,231,264,2
2024-05-25,2024,Toronto FC,FC Cincinnati,3,4,177,145,252,2
2024-05-18,2024,San Jose Earthquakes,Orlando City,0,1,106,241,270,2
2024-05-18,2024,Seattle Sounders,Vancouver Whitecaps,1,1,-119,324,272,3
2024-05-18,2024,Real Salt Lake,Colorado Rapids,5,3,-139,363,296,1
2024-05-18,2024,Austin FC,Sporting Kansas City,3,2,108,239,261,1
2024-05-18,2024,Chicago Fire,Columbus Crew,1,3,161,156,256,2
2024-05-18,2024,Houston Dynamo,FC Dallas,1,1,-156,430,289,3
2024-05-18,2024,Minnesota United,Portland Timbers,2,1,-128,317,301,1
2024-05-18,2024,Charlotte,Los Angeles Galaxy,0,0,112,222,270,3
2024-05-18,2024,FC Cincinnati,St. Louis City,3,1,-143,362,300,1
2024-05-18,2024,Inter Miami,DC United,1,0,-204,432,413,1
2024-05-18,2024,New England Revolution,Philadelphia Union,0,3,174,138,276,2
2024-05-18,2024,New York City,New York Red Bulls,2,1,156,179,231,1
2024-05-18,2024,Toronto FC,CF Montreal,5,1,-133,350,285,1
2024-05-18,2024,Nashville SC,Atlanta Utd,1,1,-118,313,269,3
2024-05-15,2024,Portland Timbers,San Jose Earthquakes,4,2,117,204,283,1
2024-05-15,2024,Colorado Rapids,Vancouver Whitecaps,1,0,-105,273,275,1
2024-05-15,2024,Real Salt Lake,Seattle Sounders,2,0,-139,370,291,1
2024-05-15,2024,Austin FC,Houston Dynamo,1,0,148,194,229,1
2024-05-15,2024,Chicago Fire,Charlotte,0,1,108,265,237,2
2024-05-15,2024,Minnesota United,Los Angeles Galaxy,2,2,112,208,291,3
2024-05-15,2024,Nashville SC,Toronto FC,2,0,-164,455,301,1
2024-05-15,2024,St. Louis City,Los Angeles FC,0,2,150,162,275,2
2024-05-15,2024,CF Montreal,Columbus Crew,1,3,209,117,277,2
2024-05-15,2024,DC United,New York Red Bulls,1,4,135,200,244,2
2024-05-15,2024,FC Cincinnati,Atlanta Utd,1,0,-127,308,304,1
2024-05-15,2024,Orlando City,Inter Miami,0,0,102,231,291,3
2024-05-15,2024,Philadelphia Union,New York City,1,2,-110,283,280,2
2024-05-12,2024,Portland Timbers,Seattle Sounders,1,2,171,147,260,2
2024-05-11,2024,Los Angeles FC,Vancouver Whitecaps,3,0,-156,398,317,1
2024-05-11,2024,Los Angeles Galaxy,Real Salt Lake,2,2,-105,254,299,3
2024-05-11,2024,Colorado Rapids,San Jose Earthquakes,2,3,-132,344,291,2
2024-05-11,2024,FC Dallas,Austin FC,2,1,-108,299,254,1
2024-05-11,2024,Sporting Kansas City,Houston Dynamo,1,2,127,218,236,2
2024-05-11,2024,St. Louis City,Chicago Fire,3,1,-135,337,305,1
2024-05-11,2024,Columbus Crew,FC Cincinnati,1,2,-130,344,283,2
2024-05-11,2024,Atlanta Utd,DC United,2,3,-141,317,342,2
2024-05-11,2024,CF Montreal,Inter Miami,2,3,297,-127,317,2
2024-05-11,2024,Charlotte,Nashville SC,1,0,110,271,227,1
2024-05-11,2024,New York Red Bulls,New England Revolution,4,2,-185,513,315,1
2024-05-11,2024,Philadelphia Union,Orlando City,2,3,104,254,260,2
2024-05-11,2024,Toronto FC,New York City,2,3,145,186,242,2
2024-05-05,2024,Seattle Sounders,Los Angeles Galaxy,0,0,-137,346,305,3
2024-05-05,2024,New York City,Colorado Rapids,0,2,-156,408,313,2
2024-05-04,2024,Vancouver Whitecaps,Austin FC,0,0,-164,463,299,3
2024-05-04,2024,Real Salt Lake,Sporting Kansas City,1,0,-159,420,308,1
2024-05-04,2024,Chicago Fire,New England Revolution,0,1,-120,316,280,2
2024-05-04,2024,Houston Dynamo,St. Louis City,0,0,100,270,258,3
2024-05-04,2024,Nashville SC,CF Montreal,4,1,-133,404,262,1
2024-05-04,2024,Atlanta Utd,Minnesota United,1,2,-152,338,345,2
2024-05-04,2024,Charlotte,Portland Timbers,2,0,-106,275,271,1
2024-05-04,2024,DC United,Philadelphia Union,2,2,129,188,270,3
2024-05-04,2024,Inter Miami,New York Red Bulls,6,2,-112,288,280,1
2024-05-04,2024,Orlando City,FC Cincinnati,0,1,118,227,248,2
2024-05-04,2024,San Jose Earthquakes,Los Angeles FC,3,1,216,114,272,1
2024-05-04,2024,Toronto FC,FC Dallas,3,1,104,260,252,1
2024-04-30,2024,Philadelphia Union,Seattle Sounders,2,3,100,285,241,2
2024-04-27,2024,Los Angeles FC,Portland Timbers,3,2,-227,575,378,1
2024-04-27,2024,Chicago Fire,Atlanta Utd,0,0,125,186,288,3
2024-04-27,2024,FC Dallas,Houston Dynamo,2,0,177,169,215,1
2024-04-27,2024,Minnesota United,Sporting Kansas City,2,1,-106,283,267,1
2024-04-27,2024,Nashville SC,San Jose Earthquakes,1,1,-112,309,259,3
