season,date,away_team,away_score,away_point_spread,away_point_spread_line,away_money_line,home_team,home_score,home_point_spread,home_point_spread_line,home_money_line,over_under,over_line,under_line
2007-08,2007-10-30,portland_trail_blazers,97,13.0,-110,900,san_antonio_spurs,106,-13.0,-110,-1400,189.5,-110,-110
2007-08,2007-10-30,utah_jazz,117,1.0,-110,100,golden_state_warriors,96,-1.0,-110,-120,212.0,-110,-110
2007-08,2007-10-30,houston_rockets,95,-5.0,-110,-230,los_angeles_lakers,93,5.0,-110,190,199.0,-110,-110
2007-08,2007-10-31,philadelphia_76ers,97,6.5,-110,255,toronto_raptors,106,-6.5,-110,-305,191.0,-110,-110
2007-08,2007-10-31,washington_wizards,110,-1.5,-110,-125,indiana_pacers,119,1.5,-110,105,203.5,-110,-110
2007-08,2007-10-31,milwaukee_bucks,83,6.5,-110,245,orlando_magic,102,-6.5,-110,-295,197.0,-110,-110
2007-08,2007-10-31,chicago_bulls,103,1.5,-110,105,NewJersey,112,-1.5,-110,-125,186.0,-110,-110
2007-08,2007-10-31,dallas_mavericks,92,-2.5,-110,-140,cleveland_cavaliers,74,2.5,-110,120,184.0,-110,-110
2007-08,2007-10-31,san_antonio_spurs,104,-6.5,-110,-250,memphis_grizzlies,101,6.5,-110,210,201.0,-110,-110
2007-08,2007-10-31,sacramento_kings,90,9.5,-110,425,new_orleans_pelicans,104,-9.5,-110,-525,190.5,-110,-110
2007-08,2007-10-31,Seattle,103,11.5,-110,625,denver_nuggets,120,-11.5,-110,-825,217.5,-110,-110
2007-08,2007-11-01,detroit_pistons,91,-4.0,-110,-190,miami_heat,80,4.0,-110,160,178.5,-110,-110
2007-08,2007-11-01,houston_rockets,106,3.0,-110,140,utah_jazz,95,-3.0,-110,-160,193.0,-110,-110
2007-08,2007-11-01,phoenix_suns,106,-12.0,-110,-725,Seattle,99,12.0,-110,575,224.5,-110,-110
2007-08,2007-11-02,milwaukee_bucks,99,4.0,-110,150,charlotte_hornets,102,-4.0,-110,-170,196.5,-110,-110
2007-08,2007-11-02,detroit_pistons,116,4.0,-110,150,orlando_magic,92,-4.0,-110,-170,183.5,-110,-110
2007-08,2007-11-02,miami_heat,85,6.5,-110,235,indiana_pacers,87,-6.5,-110,-275,192.0,-110,-110
2007-08,2007-11-02,toronto_raptors,106,4.0,-110,155,NewJersey,69,-4.0,-110,-175,193.5,-110,-110
2007-08,2007-11-02,dallas_mavericks,94,-5.5,-110,-250,atlanta_hawks,101,5.5,-110,210,191.0,-110,-110
2007-08,2007-11-02,new_york_knicks,106,6.0,-110,210,cleveland_cavaliers,110,-6.0,-110,-250,186.0,-110,-110
2007-08,2007-11-02,washington_wizards,83,7.5,-110,285,boston_celtics,103,-7.5,-110,-335,205.5,-110,-110
2007-08,2007-11-02,portland_trail_blazers,93,7.5,-110,275,new_orleans_pelicans,113,-7.5,-110,-325,203.0,-110,-110
2007-08,2007-11-02,denver_nuggets,99,-7.5,-110,-375,minnesota_timberwolves,91,7.5,-110,315,208.5,-110,-110
2007-08,2007-11-02,philadelphia_76ers,96,9.5,-110,400,chicago_bulls,85,-9.5,-110,-500,190.0,-110,-110
2007-08,2007-11-02,sacramento_kings,80,14.5,-110,1200,san_antonio_spurs,96,-14.5,-110,-2000,191.0,-110,-110
2007-08,2007-11-02,los_angeles_lakers,119,8.0,-110,365,phoenix_suns,98,-8.0,-110,-435,215.5,-110,-110
2007-08,2007-11-02,golden_state_warriors,114,1.5,-110,105,los_angeles_clippers,120,-1.5,-110,-125,211.0,-110,-110
2007-08,2007-11-03,NewJersey,93,-3.0,-110,-150,philadelphia_76ers,88,3.0,-110,130,186.5,-110,-110
